# =============================================================================
# givenname_m_freq.csv - Frequency table for male given names
#
# Sources: - Compiled from various web sites
#
# Last update: 11/04/2002, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

aaron,2
adam,10
adrian,1
aidan,6
aiden,3
aidyn,1
ajay,1
alec,1
alex,4
alexander,15
aloysius,1
andrew,10
angus,3
anthony,3
anton,1
antonio,1
archer,2
archie,2
arren,1
ash,1
ashley,1
ashton,1
ayden,1
bailey,11
bailley,1
barkly,1
barnaby,2
baxter,1
bayden,1
bayley,2
beau,2
ben,2
benedict,1
benjamin,31
bertie,1
billy,1
blade,1
blaize,1
blake,11
blakeston,1
blayke,1
bodhi,1
bradley,3
braedon,3
braiden,1
brandon,2
brayden,2
brendan,1
brett,1
brinley,1
brock,1
brodee,2
brodie,2
brody,3
bryce,2
brydon,1
byron,1
cade,1
cain,2
caleb,10
callum,7
calvin,1
cameron,9
campbell,4
carlin,2
casey,1
charles,4
charlie,6
chase,1
christian,6
christopher,5
ciaran,1
clain,1
clement,1
coby,2
connor,18
cooper,13
corey,1
d'arcy,1
daen,1
dakota,1
dale,2
damien,2
daniel,21
daniele,1
danjel,1
danny,1
dante,4
darcy,3
david,5
deakin,4
deakyn,1
dean,2
declan,1
declen,1
devan,1
dillon,2
dimitri,1
dominic,2
douglas,1
drew,1
dylan,13
eden,1
edward,3
elijah,1
elki,1
elton,1
emmet,1
ethan,19
evan,4
ewan,1
fergus,2
finlay,3
finley,1
finn,3
finnbar,1
flynn,7
francesco,1
fraser,2
fynn,1
gabriel,3
garth,1
george,4
gianni,3
grayson,1
gregory,1
griffin,1
gus,1
hamish,4
hari,1
harley,2
harrison,18
harry,14
harvey,1
hayden,9
heath,2
henry,5
hudson,1
hugh,2
hugo,3
hunter,1
iain,1
isaac,4
isaiah,1
izaac,1
jack,35
jackson,12
jacob,20
jacobie,1
jaden,2
jaggah,1
jai,3
jaiden,2
jairus,1
jake,14
jakob,1
james,28
jamie,5
jared,4
jarod,1
jarred,1
jarrod,2
jarryd,1
jarvis,1
jason,1
jasper,5
jassim,1
jaxin,1
jaxson,1
jay,1
jayde,1
jayden,10
jaykob,1
jean-claude,1
jed,2
jeremiah,1
jeremy,1
jesse,5
jett,2
jock,1
joe,2
joel,20
john,3
john-paul,1
jonah,1
jonathon,1
jordan,11
jory,1
joseph,1
joshua,50
judah,1
justin,1
jye,4
ka,1
kade,1
kadin,1
kai,3
kale,1
kaleb,1
kane,6
kayden,1
kayne,1
kazuki,1
keaton,1
keegan,1
kenneth,1
kieran,1
kieren,2
kobe,3
koben,1
kody,1
konstantinos,1
kristo,1
ky,1
kydan,1
kye,2
kyle,16
kynan,2
lachlan,32
lachlan-john,1
latham,1
lawson,1
lee,1
leo,2
leon,2
levi,2
lewis,5
liam,24
lochlan,2
logan,3
louis,2
luca,1
lucas,10
luka,1
lukas,2
luke,18
lynton,1
mackenzie,1
mackinley,1
maconal,1
macormack,1
magnus,1
malakai,1
marco,1
marcus,4
mark,1
marko,1
mason,2
matteus,1
mattheo,1
matthew,22
max,7
maxin,1
micah,1
michael,20
millane,1
miller,1
mitchell,22
nathan,14
ned,3
nicholas,25
nicolas,1
noah,13
oakleigh,1
oliver,14
oscar,6
owen,1
patrick,6
paul,1
pearson,1
peter,3
philip,1
phillip,1
phoenix,1
pino,1
quinn,2
reece,1
reeve,1
reuben,2
rhett,1
rhys,3
richard,2
ridley,1
riley,17
robbie,2
robert,4
robin,1
rohan,1
ronan,1
rory,1
rourke,1
roy,1
ruben,1
rupert,1
ryan,10
ryley,1
sachin,2
sam,8
samir,1
samuel,19
scott,2
seamus,1
sean,4
sebastian,4
seth,3
shane,3
shannon,1
shaun,2
shawn,1
silas,2
simon,1
solomon,1
spencer,1
spyke,1
stelio,1
stephen,1
steven,1
stirling,1
tai,1
talan,1
tanar,1
tasman,1
tate,1
thomas,33
timothy,11
toby,5
todd,1
tom,1
tommi-lee,1
tommy,2
tony,1
travis,3
trent,1
trevor,1
trey,2
tristan,3
troy,2
ty,1
tyler,5
tynan,2
tyron,1
tyrone,1
vincent,1
wade,1
warrick,1
wil,1
will,1
william,26
wilson,4
xavier,3
xepheren,1
zac,7
zach,1
zachariah,2
zachary,13
zack,1
zakariah,1
zane,4
zarran,1
zebediah,1
