#first name,count
SMITH,10060
JOHNSON,8100
WILLIAMS,6990
JONES,6210
BROWN,6210
DAVIS,4800
MILLER,4240
WILSON,3390
MOORE,3120
TAYLOR,3110
ANDERSON,3110
THOMAS,3110
JACKSON,3100
WHITE,2790
HARRIS,2750
MARTIN,2730
THOMPSON,2690
GARCIA,2540
MARTINEZ,2340
ROBINSON,2330
CLARK,2310
RODRIGUEZ,2290
LEWIS,2260
LEE,2200
WALKER,2190
HALL,2000
ALLEN,1990
YOUNG,1930
HERNANDEZ,1920
KING,1900
WRIGHT,1890
LOPEZ,1870
HILL,1870
SCOTT,1850
GREEN,1830
ADAMS,1740
BAKER,1710
GONZALEZ,1660
NELSON,1620
CARTER,1620
MITCHELL,1600
PEREZ,1550
ROBERTS,1530
TURNER,1520
PHILLIPS,1490
CAMPBELL,1490
PARKER,1460
EVANS,1410
EDWARDS,1370
COLLINS,1340
STEWART,1330
SANCHEZ,1300
MORRIS,1250
ROGERS,1230
REED,1220
COOK,1200
MORGAN,1180
BELL,1170
MURPHY,1170
BAILEY,1150
RIVERA,1130
COOPER,1130
RICHARDSON,1120
COX,1100
HOWARD,1100
WARD,1080
TORRES,1080
PETERSON,1070
GRAY,1060
RAMIREZ,1050
JAMES,1050
WATSON,1030
BROOKS,1030
KELLY,1020
SANDERS,1000
PRICE,990
BENNETT,990
WOOD,980
BARNES,970
ROSS,960
HENDERSON,950
COLEMAN,950
JENKINS,950
PERRY,940
POWELL,930
LONG,920
PATTERSON,920
HUGHES,920
FLORES,920
WASHINGTON,920
BUTLER,910
SIMMONS,910
FOSTER,910
GONZALES,870
BRYANT,870
ALEXANDER,850
RUSSELL,850
GRIFFIN,840
DIAZ,840
HAYES,830
MYERS,830
FORD,820
HAMILTON,820
GRAHAM,820
SULLIVAN,810
WALLACE,810
WOODS,800
COLE,800
WEST,800
JORDAN,780
OWENS,780
REYNOLDS,780
FISHER,770
ELLIS,770
HARRISON,760
GIBSON,750
MCDONALD,750
CRUZ,750
MARSHALL,750
ORTIZ,750
GOMEZ,750
MURRAY,740
FREEMAN,740
WELLS,730
WEBB,720
SIMPSON,700
STEVENS,700
TUCKER,700
PORTER,690
HUNTER,690
HICKS,690
CRAWFORD,680
HENRY,680
BOYD,680
MASON,680
MORALES,670
KENNEDY,670
WARREN,670
DIXON,660
RAMOS,660
REYES,660
BURNS,650
GORDON,650
SHAW,650
HOLMES,650
RICE,640
ROBERTSON,640
HUNT,630
BLACK,630
DANIELS,620
PALMER,620
MILLS,610
NICHOLS,600
GRANT,600
KNIGHT,600
FERGUSON,590
ROSE,590
STONE,590
HAWKINS,590
DUNN,580
PERKINS,580
HUDSON,580
SPENCER,570
GARDNER,570
STEPHENS,570
PAYNE,570
PIERCE,560
BERRY,560
MATTHEWS,560
ARNOLD,560
WAGNER,550
WILLIS,550
RAY,550
WATKINS,550
OLSON,550
CARROLL,550
DUNCAN,550
SNYDER,550
HART,540
CUNNINGHAM,540
BRADLEY,540
LANE,540
ANDREWS,540
RUIZ,540
HARPER,540
FOX,530
RILEY,530
ARMSTRONG,530
CARPENTER,530
WEAVER,530
GREENE,530
LAWRENCE,520
ELLIOTT,520
CHAVEZ,520
SIMS,520
AUSTIN,520
PETERS,520
KELLEY,520
FRANKLIN,510
LAWSON,510
FIELDS,510
GUTIERREZ,510
RYAN,510
SCHMIDT,510
CARR,510
VASQUEZ,510
CASTILLO,510
WHEELER,510
CHAPMAN,500
OLIVER,500
MONTGOMERY,490
RICHARDS,490
WILLIAMSON,490
JOHNSTON,490
BANKS,480
MEYER,480
BISHOP,480
MCCOY,480
HOWELL,480
ALVAREZ,480
MORRISON,480
HANSEN,470
FERNANDEZ,470
GARZA,470
HARVEY,470
LITTLE,460
BURTON,460
STANLEY,460
NGUYEN,460
GEORGE,460
JACOBS,460
REID,460
KIM,450
FULLER,450
LYNCH,450
DEAN,450
GILBERT,450
GARRETT,450
ROMERO,450
WELCH,440
LARSON,440
FRAZIER,440
BURKE,440
HANSON,430
DAY,430
MENDOZA,430
MORENO,430
BOWMAN,430
MEDINA,420
FOWLER,420
BREWER,420
HOFFMAN,420
CARLSON,420
SILVA,420
PEARSON,420
HOLLAND,420
DOUGLAS,410
FLEMING,410
JENSEN,410
VARGAS,410
BYRD,410
DAVIDSON,410
HOPKINS,410
MAY,400
TERRY,400
HERRERA,400
WADE,400
SOTO,400
WALTERS,400
CURTIS,400
NEAL,390
CALDWELL,390
LOWE,390
JENNINGS,390
BARNETT,390
GRAVES,390
JIMENEZ,390
HORTON,390
SHELTON,390
BARRETT,390
OBRIEN,390
CASTRO,390
SUTTON,380
GREGORY,380
MCKINNEY,380
LUCAS,380
MILES,380
CRAIG,380
RODRIQUEZ,370
CHAMBERS,370
HOLT,370
LAMBERT,370
FLETCHER,370
WATTS,370
BATES,370
HALE,370
RHODES,370
PENA,370
BECK,370
NEWMAN,360
HAYNES,360
MCDANIEL,360
MENDEZ,360
BUSH,360
VAUGHN,360
PARKS,350
DAWSON,350
SANTIAGO,350
NORRIS,350
HARDY,350
LOVE,350
STEELE,350
CURRY,350
POWERS,350
SCHULTZ,350
BARKER,350
GUZMAN,340
PAGE,340
MUNOZ,340
BALL,340
KELLER,340
CHANDLER,340
WEBER,340
LEONARD,340
WALSH,330
LYONS,330
RAMSEY,330
WOLFE,330
SCHNEIDER,330
MULLINS,330
BENSON,330
SHARP,330
BOWEN,330
DANIEL,330
BARBER,320
CUMMINGS,320
HINES,320
BALDWIN,320
GRIFFITH,320
VALDEZ,320
HUBBARD,320
SALAZAR,320
REEVES,320
WARNER,310
STEVENSON,310
BURGESS,310
SANTOS,310
TATE,310
CROSS,310
GARNER,310
MANN,310
MACK,310
MOSS,310
THORNTON,310
DENNIS,310
MCGEE,310
FARMER,300
DELGADO,300
AGUILAR,300
VEGA,300
GLOVER,300
MANNING,300
COHEN,300
HARMON,300
RODGERS,300
ROBBINS,300
NEWTON,300
TODD,300
BLAIR,300
HIGGINS,300
INGRAM,300
REESE,300
CANNON,300
STRICKLAND,300
TOWNSEND,300
POTTER,300
GOODWIN,300
WALTON,300
ROWE,290
HAMPTON,290
ORTEGA,290
PATTON,290
SWANSON,290
JOSEPH,290
FRANCIS,290
GOODMAN,290
MALDONADO,290
YATES,290
BECKER,290
ERICKSON,290
HODGES,290
RIOS,290
CONNER,290
ADKINS,290
WEBSTER,280
NORMAN,280
MALONE,280
HAMMOND,280
FLOWERS,280
COBB,280
MOODY,280
QUINN,280
BLAKE,280
MAXWELL,280
POPE,280
FLOYD,270
OSBORNE,270
PAUL,270
MCCARTHY,270
GUERRERO,270
LINDSEY,270
ESTRADA,270
SANDOVAL,270
GIBBS,270
TYLER,270
GROSS,270
FITZGERALD,270
