# =============================================================================
# postcode_act_freq.csv - Frequency table for postcodes in the ACT
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

2582,4
2586,24
2600,2912
2601,546
2602,10842
2603,3455
2604,3359
2605,4581
2606,3416
2607,5504
2608,4
2609,287
2611,9273
2612,4157
2614,7762
2615,13417
2617,8737
2618,457
2620,273
2621,98
2900,424
2902,5781
2903,3472
2904,4525
2905,9313
2906,4848
2911,34
2912,65
2913,6823
2914,1164
