#age distribution based on sex = female,count (from http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?src=bkmk)
0, 1925056
1, 1933929
2, 1948680
3, 1953120
4, 1954885
5, 2017560
6, 2025310
7, 2007933
8, 2002750
9, 2008054
10, 1994285
11, 1985604
12, 2032890
13, 2059475
14, 2025677
15, 2025522
16, 2032193
17, 2042940
18, 2084906
19, 2127213
20, 2156114
21, 2220785
22, 2274176
23, 2276399
24, 2188999
25, 2143108
26, 2110001
27, 2123971
28, 2150401
29, 2092838
30, 2132415
31, 2138703
32, 2120965
33, 2156920
34, 2033774
35, 1997006
36, 1983203
37, 1924842
38, 1982996
39, 1930454
40, 1968259
41, 2056391
42, 2177715
43, 2197973
44, 2088590
45, 2048451
46, 2058350
47, 2097185
48, 2227171
49, 2279031
50, 2283376
51, 2283411
52, 2318522
53, 2335280
54, 2267671
55, 2260195
56, 2243717
57, 2171182
58, 2156648
59, 2080306
60, 2006745
61, 1932477
62, 1881064
63, 1837353
64, 1789989
65, 1775062
66, 1851206
67, 1373271
68, 1361259
69, 1334729
70, 1371215
71, 1202131
72, 1107284
73, 1051844
74, 991123
75, 957852
76, 890198
77, 857089
78, 830640
79, 751755
80, 735180
81, 709462
82, 683692
83, 664014
84, 606120
85, 576042
86, 532335
87, 480830
88, 440854
89, 388432
90, 332587
91, 286638
92, 238786
93, 190429
94, 141657
95, 114141
96, 82501
97, 62067
98, 45050
99, 31628
100, 55030
