#zipcode,count
20001,1
20002,1
20003,1
20004,1
20005,1
20006,1
20007,1
20008,1
20009,1
20010,1
20011,1
20012,1
20013,1
20015,1
20016,1
20017,1
20018,1
20019,1
20020,1
20024,1
20026,1
20029,1
20030,1
20032,1
20033,1
20035,1
20036,1
20037,1
20038,1
20039,1
20040,1
20041,1
20042,1
20043,1
20044,1
20045,1
20046,1
20047,1
20049,1
20050,1
20051,1
20052,1
20053,1
20055,1
20056,1
20057,1
20058,1
20059,1
20060,1
20061,1
20062,1
20063,1
20064,1
20065,1
20066,1
20067,1
20068,1
20069,1
20070,1
20071,1
20073,1
20074,1
20075,1
20076,1
20077,1
20078,1
20080,1
20081,1
20082,1
20088,1
20090,1
20091,1
20097,1
20098,1
20099,1
20201,1
20202,1
20203,1
20204,1
20206,1
20207,1
20208,1
20210,1
20211,1
20212,1
20213,1
20214,1
20215,1
20216,1
20217,1
20218,1
20219,1
20220,1
20221,1
20222,1
20223,1
20224,1
20226,1
20227,1
20228,1
20229,1
20230,1
20231,1
20232,1
20233,1
20235,1
20238,1
20239,1
20240,1
20241,1
20242,1
20244,1
20245,1
20250,1
20251,1
20254,1
20260,1
20261,1
20262,1
20265,1
20266,1
20268,1
20270,1
20277,1
20289,1
20299,1
20301,1
20303,1
20306,1
20307,1
20310,1
20314,1
20315,1
20317,1
20318,1
20319,1
20330,1
20332,1
20336,1
20337,1
20338,1
20340,1
20350,1
20370,1
20372,1
20373,1
20374,1
20375,1
20380,1
20388,1
20389,1
20390,1
20391,1
20392,1
20393,1
20394,1
20395,1
20398,1
20401,1
20402,1
20403,1
20404,1
20405,1
20406,1
20407,1
20408,1
20409,1
20410,1
20411,1
20412,1
20413,1
20414,1
20415,1
20416,1
20418,1
20419,1
20420,1
20421,1
20422,1
20423,1
20424,1
20425,1
20426,1
20427,1
20428,1
20429,1
20431,1
20433,1
20434,1
20435,1
20436,1
20437,1
20439,1
20440,1
20441,1
20442,1
20444,1
20447,1
20451,1
20453,1
20456,1
20460,1
20463,1
20468,1
20469,1
20470,1
20472,1
20501,1
20502,1
20503,1
20504,1
20505,1
20506,1
20507,1
20508,1
20510,1
20515,1
20520,1
20521,1
20522,1
20523,1
20524,1
20525,1
20526,1
20527,1
20530,1
20531,1
20532,1
20533,1
20534,1
20535,1
20536,1
20537,1
20538,1
20539,1
20540,1
20541,1
20542,1
20543,1
20544,1
20546,1
20547,1
20548,1
20549,1
20550,1
20551,1
20552,1
20553,1
20554,1
20555,1
20557,1
20558,1
20559,1
20560,1
20565,1
20566,1
20570,1
20571,1
20572,1
20573,1
20575,1
20576,1
20577,1
20578,1
20579,1
20580,1
20581,1
20585,1
20586,1
20590,1
20591,1
20593,1
20594,1
20597,1
20599,1
