# =============================================================================
# surname-misspell.csv - Lookup-table for surname misspellings used for the
#                        database generator
#
# - The word left of the comma is the correct spelling, right of the comma is
#   the corresponding misspelling
# - Several misspellings can be given fir the same correct spelling
#
# Last update: 18/03/2012, Peter Christen
# =============================================================================

aitchison,acheson
aitken,aiken
aldis,aldous
almond,allmond
althea,thea
arden,ardie
arland,arley
arland,arlie
arland,arly
armen,armand
arnoud,arnout
avice,avis
avice,awis

barclay,berkeley
baxter,bax
blythe,blithe
boleslaw,bolestlaw
bowden,bowen
boyle,oboyle
bree,obree
brice,bryce
brian,brien
brian,briant
brian,bryan
brian,bryant
brian,obrian
brian,obrien
brian,obryan
brinley,brindley
bruckner,brukner
burl,burlie
burrows,burroughs
bush,busch
byers,byas
byers,byass
byrne,byrnes

cain,caine
cain,cane
cain,conn
cain,kain
cain,kahn
cain,kon
cain,okane
cain,okeane
callaghan,callahan
callaghan,ocallaghan
calvert,calvat
campbell,cambell
car,kaare
carlisle,carlile
carlisle,carlyle
castle,cassel
castle,cassell
castle,kassel
chapman,chap
cletus,clete
cleveland,cleave
cleveland,cleve
clyne,klein
coldbeck,colbeck
coleman,colman
concepcion,conchita
connell,oconnell
connor,conner
connor,oconner
connor,oconnor
corbett,corby
cosh,koch
cramer,kramer
cramer,kraymer
cramer,kremer
creighton,crichton
crowe,krogh
cruise,crews
cruise,kruse
cummins,cummings
cyrus,cy

davidson,davison
davidson,davissen
davina,davida
dea,odea
dell,odell
denbeigh,denby
denholm,denham
dennis,dennys
desmond,desmon
dickson,dixon
dinh,din
dinh,dingh
dinning,dinnin
doherty,docherty
doherty,dougherty
doherty,odoherty
dolman,dollman
donaghue,odonaghue
donaghue,odonahoo
donaghue,odonahue
donnell,odonnell
donohoe,donoghue
donovan,odonovan
dowd,odowd
driscoll,odriscill
driscoll,odriscoll
dudley,dud
dudley,dudleigh
duff,duffy
duke,dukes
dwyer,odwyer

eames,ames
eames,amies
elder,elde
elms,elemes
engle,engel
engle,ingle
english,inglish
english,ingliss
eyres,ayers
eyres,ayres
ezekiel,zech
ezekiel,zeke

farrell,ofarrell
faulkner,falc
faulkner,falcon
faulkner,falconer
faulkner,falk
faulkner,falkiner
faulkner,fawkner
finlay,findlay
finlay,findley
fitzner,pfitzner
flaherty,oflaherty
flanagan,oflanagan
flynn,oflynn
ford,forde
forster,foster
freeman,freedman
french,ffrench
frost,ffrost

gallagher,ogallagher
gara,ogara
gaven,gavin
geraghty,garretty
geraghty,garrety
geraghty,garrity
gillman,gilman
gordon,gordie
gordon,gordy
gorman,ogorman
gough,goff
gower,ogower
grady,ogrady

hadleigh,hadley
hagan,ohagan
hallor,ohallor
halloran,ohalloran
han,ohan
hanaffian,ohanaffian
hancock,handcock
hanes,ohanes
hanessian,ohanessian
hanian,ohanian
hanley,hambley
hanley,hamley
hanley,handley
hanlon,ohanlon
hannes,ohannes
hannessian,ohannessian
har,ohar
hara,ohara
hara,oharae
hare,ohaiher
hare,ohaire
hare,ohare
hare,ohegir
hare,ohehar
hare,ohehier
hare,ohehir
hare,oheir
harford,hartford
harris,oharris
hart,ohart
hawkyard,halkyard
hayon,ohayon
hayward,haywood
hayward,heyward
hayward,heywood
hayward,howard
hazy,ohazy
hea,ohea
hearn,ohearn
hodgson,hodson
horton,hawtin
horton,houghton
hough,hoff
hudson,housten
hudson,houston
hudson,huston
hughes,hewes
humphrey,humfrey
humphrey,onofredo

irving,ervy
irving,irvin
irving,irvine
islay,isles

johnson,johnston
johnson,johnstone
junior,jnr
juris,yuris

kantor,cantor
karlsen,carlson
kavanagh,cavanagh
kavanagh,cavanough
kavanagh,cavenagh
kealley,keighley
kearney,carney
kearney,carnie
kearney,okearney
keefe,okeefe
keese,okeese
keil,okeil
keith,okeith
kel,okel
kennely,kennerley
kenneth,ken
kenneth,keneth
kenneth,kenethe
kenneth,kenith
kenneth,kennith
kenneth,kenny
kirby,kirkby
klap,clap
klap,clapp
kohen,coen
kohen,cohen
kohen,cohn
koster,costa
koster,coster

laco,olaco
langford,langsford
laslo,laszlo
laughton,lawton
leach,leitch
leary,oleary
lennox,leannox
lisle,lyal
lisle,lydall
lisle,lyle
lloyd,floyd
loan,oloan
lachlan,loughlin
lachlan,olachlan
lachlan,olaughlan
lachlan,ologhlin
lachlan,oloughlan
lynam,olynam
lyndon,lindon

mace,maze
maddock,maddocks
maher,maier
maher,mayar
maher,meagher
maher,omeagher
mahon,mann
mahony,mahoney
mahony,omahoney
mahony,omahony
mai,may
malley,omalley
malley,omally
malley,omeley
mara,omara
mara,omeara
mara,omera
marsh,march
massey,massie
matheson,matherson
mavis,mab
mervyn,merv
mervyn,mervin
meyer,myer
miles,myles
millicent,mildred
millie,milli
millie,milly
mitchell,michaal
mitchell,michaele
mitchell,michaell
mitchell,micheal
mitchell,michell
mitchell,mick
mitchell,micky
mitchell,mikcos
mitchell,mike
mitchell,mitch
montague,monty
mosley,morsley
mullane,omullane

nada,nadine
nains,onains
nevern,nevin
newbury,newby
norton,naughton
norton,naunton
nosworthy,norsworthy

ogden,oddie
ogden,oddy

panagiotis,panayotis
patterson,pattison
pearce,pearse
powers,powys
prendergast,pendergast
price,preiss
pritchard,prichard

quinton,quentin

raleigh,rawleigh
raleigh,rawley
raleigh,rowley
redman,redmond
reece,rees
regan,oregan
reilly,oreilly
reilly,orielly
reuben,rube
reuben,ruben
reynard,reyner
reynolds,reynol
reynolds,reynold
roach,roache
roach,roatch
roach,roche
robertson,roberson
robertson,robieson
robertson,robinson
roer,ruggiero
rogers,rodgers
rourke,orourke
ruthen,ruthven

sampson,samson
sanderson,sandison
sandford,sanford
schultz,scholz
schultz,schulz
schultz,schulze
schultz,shultz
schultz,shultze
schwartz,schwarz
seaton,seton
shana,oshana
shana,oshanna
shannessy,oshanassy
shannessy,oshanesy
shannessy,oshannessy
shannessy,oshaughnessy
shea,oshae
shea,oshea
sheehy,osheehy
sheils,shields
sheils,shiels
